participant_id,condition,pointer_type,distance_to_start_position,task_completion_time_in_ms
1,1,normal,618.8133805922428,849.544
1,1,normal,757.4760722293477,648.2320000000002
1,1,normal,865.85275884529,1258.421
1,1,normal,737.4076213330047,762.691
1,1,normal,882.1388779551663,734.26
1,2,normal,862.5502883890308,1109.763
1,2,normal,627.7141068989928,681.543
1,2,normal,767.148616631745,793.0840000000002
1,2,normal,716.686821422021,732.084
1,2,normal,875.822470595497,631.266
1,3,normal,749.7206146292096,655.0550000000002
1,3,normal,901.5680784056187,570.506
1,3,normal,887.8541546898341,622.0020000000002
1,3,normal,630.0872955392769,628.7869999999999
1,3,normal,750.0359991360414,697.7149999999998
1,4,normal,721.4048793846629,737.2660000000001
1,4,normal,735.5338197527017,730.5509999999998
1,4,normal,623.4621079103364,671.83
1,4,normal,876.7856066336858,904.066
1,4,normal,875.6260617409694,739.433
1,5,normal,754.0086206403745,701.65
1,5,normal,731.5743297847458,553.0419999999999
1,5,normal,652.6813924113358,585.543
1,5,normal,891.1930206189903,478.201
1,5,normal,895.2010947267659,521.9259999999999
1,6,normal,750.4165509901817,809.539
1,6,normal,866.0652400368001,1089.3039999999999
1,6,normal,742.796068917977,640.731
1,6,normal,620.2330207268877,712.2769999999999
1,6,normal,898.1091247727082,779.0369999999999
2,4,normal,554.0333924954343,1342.389
2,4,normal,837.0047789588779,962.789
2,4,normal,799.5179797853203,814.962
2,4,normal,675.7070371100186,690.028
2,4,normal,666.5883287307092,874.8209999999998
2,5,normal,824.9224205948095,599.0799999999998
2,5,normal,597.9180545860779,676.238
2,5,normal,704.3436661176132,712.1899999999998
2,5,normal,825.0006060603835,757.79
2,5,normal,712.5461388569865,551.276
2,3,normal,834.2397736861985,607.311
2,3,normal,559.6507839715763,572.126
2,3,normal,710.7685980683164,478.9
2,3,normal,842.819079043658,769.424
2,3,normal,674.4064056635287,717.37
2,6,normal,826.4671802316168,797.242
2,6,normal,569.5278746470624,754.488
2,6,normal,665.4562344737632,839.01
2,6,normal,691.1222757226103,668.07
2,6,normal,841.9037949789749,854.909
2,2,normal,572.4657194976833,701.425
2,2,normal,805.8213201448568,1057.3429999999996
2,2,normal,696.9999999999999,609.6089999999998
2,2,normal,657.860927552321,746.7180000000001
2,2,normal,825.5155964607816,870.2579999999998
2,1,normal,574.4736721556524,520.73
2,1,normal,720.4567995376268,538.937
2,1,normal,691.7701930554683,543.362
2,1,normal,807.9702964837259,698.057
2,1,normal,878.2755831742109,538.939
3,6,normal,2666.175163037868,1029.5819999999999
3,6,normal,2507.5392319961816,913.56
3,6,normal,2779.035264259884,947.188
3,6,normal,2760.2182884692293,1043.505
3,6,normal,2574.777077729255,943.471
3,1,normal,2709.465814510307,1126.996
3,1,normal,2518.044677919754,899.4029999999998
3,1,normal,2783.855240489347,902.808
3,1,normal,2591.606644535393,1243.618
3,1,normal,2790.522531713371,738.8510000000001
3,5,normal,2557.230142165543,916.923
3,5,normal,2765.4703035830994,693.748
3,5,normal,2825.070795573095,1031.4489999999998
3,5,normal,2696.276135710139,759.053
3,5,normal,2540.227548862503,1457.9299999999996
3,2,normal,2640.016098435765,689.707
3,2,normal,2508.7417164786016,942.696
3,2,normal,2563.5151647688767,1190.4920000000004
3,2,normal,2771.693525626525,792.47
3,2,normal,2788.002869438983,1125.8570000000002
3,4,normal,2509.8418276855623,1531.825
3,4,normal,2649.099847117885,1184.933
3,4,normal,2556.156685338362,1089.905
3,4,normal,2790.0016129027595,1157.8110000000001
3,4,normal,2758.30998983073,983.757
3,3,normal,2645.609192605741,672.363
3,3,normal,2584.223674529741,1114.6760000000002
3,3,normal,2796.071529843255,778.1909999999998
3,3,normal,2538.574403085322,569.076
3,3,normal,2814.9467135276286,683.944
4,1,normal,2589.634723276625,588.0889999999998
4,1,normal,2834.357246361157,721.2810000000001
4,1,normal,2800.446571531048,1001.045
4,1,normal,2633.773148925321,742.675
